id_transacao,id_tipo_transacao,id_pais_origem,id_pais_destino,id_produto,valor_monetario_transacao,quantidade_transacionada,id_transporte,id_cambio,descricao_tipo_transacao,descricao_transporte,data,id_moeda_origem,id_moeda_destino,taxa_cambio_transacao,descricao_moeda_origem,pais_moeda_origem,descricao_moeda_destino,pais_moeda_destino,nome_pais_origem,codigo_iso_pais_origem,bloco_id_origem,nome_pais_destino,codigo_iso_pais_destino,bloco_id_destino,valor_convertido_transacao
11,5,11,4,31,9910.7,92,5,5,Venda internacional,Multimodal,2023-01-01,15,1,0.006281,Peso Chileno,Chile,Real Brasileiro,Brasil,Bélgica,BEL,2.0,Uruguai,URY,1.0,62.249106700000006
12,6,16,15,34,10821.87,99,6,6,Devolução internacional,Courier Internacional,2023-01-01,18,1,1.420835,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Japão,JPN,5.0,China,CHN,5.0,15376.091661450002
13,2,4,21,6,837.13,43,1,7,Exportação,Marítimo,2023-01-02,6,1,5.310566,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Uruguai,URY,1.0,Chile,CHL,7.0,4445.63411558
14,3,9,32,9,1748.3,57,2,8,Transferência entre filiais,Aéreo,2023-01-02,5,1,5.776464,Euro,Zona do Euro,Real Brasileiro,Brasil,Portugal,PRT,2.0,Suécia,SWE,2.0,10098.9920112
15,4,14,3,12,2659.47,71,3,9,Compra internacional,Rodoviário,2023-01-02,9,1,0.779784,Yuan Chinês,China,Real Brasileiro,Brasil,México,MEX,3.0,Paraguai,PRY,1.0,2073.81215448
16,5,19,14,15,3570.64,85,4,10,Venda internacional,Ferroviário,2023-01-02,10,6,0.007776,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Rússia,RUS,6.0,México,MEX,3.0,27.76529664
17,6,24,25,18,4481.81,99,5,11,Devolução internacional,Multimodal,2023-01-02,15,1,0.006264,Peso Chileno,Chile,Real Brasileiro,Brasil,Bolívia,BOL,7.0,Emirados Árabes Unidos,ARE,8.0,28.074057840000002
18,1,29,36,21,5392.98,113,6,12,Importação,Courier Internacional,2023-01-02,18,1,1.416912,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Nova Zelândia,NZL,5.0,Tailândia,THA,4.0,7641.3780777599995
19,2,34,7,24,6303.15,127,1,7,Exportação,Marítimo,2023-01-02,6,1,5.310566,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Turquia,TUR,,Itália,ITA,2.0,33473.29408289999
20,3,39,18,27,7214.32,141,2,8,Transferência entre filiais,Aéreo,2023-01-02,5,1,5.776464,Euro,Zona do Euro,Real Brasileiro,Brasil,Malásia,MYS,4.0,Índia,IND,6.0,41673.25976448
21,4,4,29,30,8125.49,155,3,9,Compra internacional,Rodoviário,2023-01-02,9,1,0.779784,Yuan Chinês,China,Real Brasileiro,Brasil,Uruguai,URY,1.0,Nova Zelândia,NZL,5.0,6336.1270941600005
22,5,9,40,33,9036.66,169,4,10,Venda internacional,Ferroviário,2023-01-02,10,6,0.007776,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Portugal,PRT,2.0,Nigéria,NGA,9.0,70.26906816
23,6,14,11,36,9947.83,183,5,11,Devolução internacional,Multimodal,2023-01-02,15,1,0.006264,Peso Chileno,Chile,Real Brasileiro,Brasil,México,MEX,3.0,Bélgica,BEL,2.0,62.313207119999994
24,1,19,22,39,10858.0,197,6,12,Importação,Courier Internacional,2023-01-02,18,1,1.416912,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Rússia,RUS,6.0,Peru,PER,7.0,15384.830495999999
25,3,7,28,11,874.26,64,1,13,Transferência entre filiais,Marítimo,2023-01-03,6,1,5.321063,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Itália,ITA,2.0,Austrália,AUS,5.0,4651.99253838
26,4,12,39,14,1785.43,85,2,14,Compra internacional,Aéreo,2023-01-03,5,1,5.783352,Euro,Zona do Euro,Real Brasileiro,Brasil,Estados Unidos,USA,3.0,Malásia,MYS,4.0,10325.77016136
27,5,17,10,17,2696.6,106,3,15,Venda internacional,Rodoviário,2023-01-03,9,1,0.779753,Yuan Chinês,China,Real Brasileiro,Brasil,Coreia do Sul,KOR,5.0,Países Baixos,NLD,2.0,2102.6819398
28,6,22,21,20,3607.77,127,4,16,Devolução internacional,Ferroviário,2023-01-03,10,6,0.007765,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Peru,PER,7.0,Chile,CHL,7.0,28.014334050000002
29,1,27,32,23,4518.94,148,5,17,Importação,Multimodal,2023-01-03,15,1,0.006247,Peso Chileno,Chile,Real Brasileiro,Brasil,Egito,EGY,8.0,Suécia,SWE,2.0,28.22981818
30,2,32,3,26,5429.11,169,6,18,Exportação,Courier Internacional,2023-01-03,18,1,1.41309,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Suécia,SWE,2.0,Paraguai,PRY,1.0,7671.8210499
31,3,37,14,29,6340.28,190,1,13,Transferência entre filiais,Marítimo,2023-01-03,6,1,5.321063,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Vietnã,VNM,4.0,México,MEX,3.0,33737.029317639994
32,4,2,25,32,7251.45,211,2,14,Compra internacional,Aéreo,2023-01-03,5,1,5.783352,Euro,Zona do Euro,Real Brasileiro,Brasil,Argentina,ARG,1.0,Emirados Árabes Unidos,ARE,8.0,41937.6878604
33,5,7,36,35,8162.62,232,3,15,Venda internacional,Rodoviário,2023-01-03,9,1,0.779753,Yuan Chinês,China,Real Brasileiro,Brasil,Itália,ITA,2.0,Tailândia,THA,4.0,6364.82743286
34,6,12,7,38,9073.79,253,4,16,Devolução internacional,Ferroviário,2023-01-03,10,6,0.007765,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Estados Unidos,USA,3.0,Itália,ITA,2.0,70.45797935
35,1,17,18,1,9984.96,274,5,17,Importação,Multimodal,2023-01-03,15,1,0.006247,Peso Chileno,Chile,Real Brasileiro,Brasil,Coreia do Sul,KOR,5.0,Índia,IND,6.0,62.37604511999999
36,2,22,29,4,10895.13,295,6,18,Exportação,Courier Internacional,2023-01-03,18,1,1.41309,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Peru,PER,7.0,Nova Zelândia,NZL,5.0,15395.799251699998
37,4,10,35,16,911.39,85,1,19,Compra internacional,Marítimo,2023-01-04,6,1,5.331454,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Países Baixos,NLD,2.0,Singapura,SGP,4.0,4859.03386106
38,5,15,6,19,1822.56,113,2,20,Venda internacional,Aéreo,2023-01-04,5,1,5.789721,Euro,Zona do Euro,Real Brasileiro,Brasil,China,CHN,5.0,França,FRA,2.0,10552.11390576
39,6,20,17,22,2733.73,141,3,21,Devolução internacional,Rodoviário,2023-01-04,9,1,0.779638,Yuan Chinês,China,Real Brasileiro,Brasil,África do Sul,ZAF,6.0,Coreia do Sul,KOR,5.0,2131.31978974
40,1,25,28,25,3644.9,169,4,22,Importação,Ferroviário,2023-01-04,10,6,0.007753,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Emirados Árabes Unidos,ARE,8.0,Austrália,AUS,5.0,28.2589097
41,2,30,39,28,4555.07,197,5,23,Exportação,Multimodal,2023-01-04,15,1,0.00623,Peso Chileno,Chile,Real Brasileiro,Brasil,Suíça,CHE,10.0,Malásia,MYS,4.0,28.3780861
42,3,35,10,31,5466.24,225,6,24,Transferência entre filiais,Courier Internacional,2023-01-04,18,1,1.409385,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Singapura,SGP,4.0,Países Baixos,NLD,2.0,7704.0366624
43,4,40,21,34,6377.41,253,1,19,Compra internacional,Marítimo,2023-01-04,6,1,5.331454,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Nigéria,NGA,9.0,Chile,CHL,7.0,34000.868054139995
44,5,5,32,37,7288.58,281,2,20,Venda internacional,Aéreo,2023-01-04,5,1,5.789721,Euro,Zona do Euro,Real Brasileiro,Brasil,Alemanha,DEU,2.0,Suécia,SWE,2.0,42198.844686180004
45,6,10,3,40,8199.75,309,3,21,Devolução internacional,Rodoviário,2023-01-04,9,1,0.779638,Yuan Chinês,China,Real Brasileiro,Brasil,Países Baixos,NLD,2.0,Paraguai,PRY,1.0,6392.8366905
46,1,15,14,3,9110.92,337,4,22,Importação,Ferroviário,2023-01-04,10,6,0.007753,Iene Japonês,Japão,Dólar Americano,Estados Unidos,China,CHN,5.0,México,MEX,3.0,70.63696276
47,2,20,25,6,10021.09,365,5,23,Exportação,Multimodal,2023-01-04,15,1,0.00623,Peso Chileno,Chile,Real Brasileiro,Brasil,África do Sul,ZAF,6.0,Emirados Árabes Unidos,ARE,8.0,62.4313907
48,3,25,36,9,10932.26,393,6,24,Transferência entre filiais,Courier Internacional,2023-01-04,18,1,1.409385,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Emirados Árabes Unidos,ARE,8.0,Tailândia,THA,4.0,15407.763260100002
49,5,13,2,21,948.52,106,1,25,Venda internacional,Marítimo,2023-01-05,6,1,5.341704,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Canadá,CAN,3.0,Argentina,ARG,1.0,5066.71307808
50,6,18,13,24,1859.69,141,2,26,Devolução internacional,Aéreo,2023-01-05,5,1,5.795545,Euro,Zona do Euro,Real Brasileiro,Brasil,Índia,IND,6.0,Canadá,CAN,3.0,10777.91708105
51,1,23,24,27,2770.86,176,3,27,Importação,Rodoviário,2023-01-05,9,1,0.779439,Yuan Chinês,China,Real Brasileiro,Brasil,Colômbia,COL,7.0,Bolívia,BOL,7.0,2159.7163475400002
52,2,28,35,30,3681.03,211,4,28,Exportação,Ferroviário,2023-01-05,10,6,0.00774,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Austrália,AUS,5.0,Singapura,SGP,4.0,28.4911722
53,3,33,6,33,4592.2,246,5,29,Transferência entre filiais,Multimodal,2023-01-05,15,1,0.006212,Peso Chileno,Chile,Real Brasileiro,Brasil,Dinamarca,DNK,2.0,França,FRA,2.0,28.526746399999997
54,4,38,17,36,5503.37,281,6,30,Compra internacional,Courier Internacional,2023-01-05,18,1,1.405809,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Indonésia,IDN,4.0,Coreia do Sul,KOR,5.0,7736.68707633
55,5,3,28,39,6414.54,316,1,25,Venda internacional,Marítimo,2023-01-05,6,1,5.341704,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Paraguai,PRY,1.0,Austrália,AUS,5.0,34264.57397616
56,6,8,39,2,7325.71,351,2,26,Devolução internacional,Aéreo,2023-01-05,5,1,5.795545,Euro,Zona do Euro,Real Brasileiro,Brasil,Espanha,ESP,2.0,Malásia,MYS,4.0,42456.48196195
57,1,13,10,5,8236.88,386,3,27,Importação,Rodoviário,2023-01-05,9,1,0.779439,Yuan Chinês,China,Real Brasileiro,Brasil,Canadá,CAN,3.0,Países Baixos,NLD,2.0,6420.14551032
58,2,18,21,8,9147.05,421,4,28,Exportação,Ferroviário,2023-01-05,10,6,0.00774,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Índia,IND,6.0,Chile,CHL,7.0,70.79816699999999
59,3,23,32,11,10058.22,456,5,29,Transferência entre filiais,Multimodal,2023-01-05,15,1,0.006212,Peso Chileno,Chile,Real Brasileiro,Brasil,Colômbia,COL,7.0,Suécia,SWE,2.0,62.48166263999999
60,4,28,3,14,10969.39,491,6,30,Compra internacional,Courier Internacional,2023-01-05,18,1,1.405809,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Austrália,AUS,5.0,Paraguai,PRY,1.0,15420.86718651
61,6,16,9,26,985.65,127,1,31,Devolução internacional,Marítimo,2023-01-06,6,1,5.351776,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Japão,JPN,5.0,Portugal,PRT,2.0,5274.9780144
62,1,21,20,29,1896.82,169,2,32,Importação,Aéreo,2023-01-06,5,1,5.800798,Euro,Zona do Euro,Real Brasileiro,Brasil,Chile,CHL,7.0,África do Sul,ZAF,6.0,11003.06966236
63,2,26,31,32,2807.99,211,3,33,Exportação,Rodoviário,2023-01-06,9,1,0.779157,Yuan Chinês,China,Real Brasileiro,Brasil,Arábia Saudita,SAU,8.0,Noruega,NOR,10.0,2187.8650644299996
64,3,31,2,35,3718.16,253,4,34,Transferência entre filiais,Ferroviário,2023-01-06,10,6,0.007726,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Noruega,NOR,10.0,Argentina,ARG,1.0,28.72650416
65,4,36,13,38,4629.33,295,5,35,Compra internacional,Multimodal,2023-01-06,15,1,0.006194,Peso Chileno,Chile,Real Brasileiro,Brasil,Tailândia,THA,4.0,Canadá,CAN,3.0,28.67407002
66,5,1,24,1,5540.5,337,6,36,Venda internacional,Courier Internacional,2023-01-06,18,1,1.402377,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Brasil,BRA,1.0,Bolívia,BOL,7.0,7769.8697685
67,6,6,35,4,6451.67,379,1,31,Devolução internacional,Marítimo,2023-01-06,6,1,5.351776,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,França,FRA,2.0,Singapura,SGP,4.0,34527.89266592
68,1,11,6,7,7362.84,421,2,32,Importação,Aéreo,2023-01-06,5,1,5.800798,Euro,Zona do Euro,Real Brasileiro,Brasil,Bélgica,BEL,2.0,França,FRA,2.0,42710.34754632
69,2,16,17,10,8273.01,463,3,33,Exportação,Rodoviário,2023-01-06,9,1,0.779157,Yuan Chinês,China,Real Brasileiro,Brasil,Japão,JPN,5.0,Coreia do Sul,KOR,5.0,6445.97365257
70,3,21,28,13,9184.18,505,4,34,Transferência entre filiais,Ferroviário,2023-01-06,10,6,0.007726,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Chile,CHL,7.0,Austrália,AUS,5.0,70.95697468
71,4,26,39,16,10095.35,547,5,35,Compra internacional,Multimodal,2023-01-06,15,1,0.006194,Peso Chileno,Chile,Real Brasileiro,Brasil,Arábia Saudita,SAU,8.0,Malásia,MYS,4.0,62.530597900000004
72,5,31,10,19,11006.52,589,6,36,Venda internacional,Courier Internacional,2023-01-06,18,1,1.402377,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Noruega,NOR,10.0,Países Baixos,NLD,2.0,15435.29049804
73,1,19,16,31,1022.78,148,1,37,Importação,Marítimo,2023-01-07,6,1,5.361636,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Rússia,RUS,6.0,Japão,JPN,5.0,5483.77406808
74,2,24,27,34,1933.95,197,2,38,Exportação,Aéreo,2023-01-07,5,1,5.805459,Euro,Zona do Euro,Real Brasileiro,Brasil,Bolívia,BOL,7.0,Egito,EGY,8.0,11227.46743305
75,3,29,38,37,2844.12,246,3,39,Transferência entre filiais,Rodoviário,2023-01-07,9,1,0.778793,Yuan Chinês,China,Real Brasileiro,Brasil,Nova Zelândia,NZL,5.0,Indonésia,IDN,4.0,2214.9807471599997
76,4,34,9,40,3755.29,295,4,40,Compra internacional,Ferroviário,2023-01-07,10,6,0.007711,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Turquia,TUR,,Portugal,PRT,2.0,28.957041189999998
77,5,39,20,3,4666.46,344,5,41,Venda internacional,Multimodal,2023-01-07,15,1,0.006176,Peso Chileno,Chile,Real Brasileiro,Brasil,Malásia,MYS,4.0,África do Sul,ZAF,6.0,28.820056960000002
78,6,4,31,6,5577.63,393,6,42,Devolução internacional,Courier Internacional,2023-01-07,18,1,1.399102,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Uruguai,URY,1.0,Noruega,NOR,10.0,7803.673288260001
79,1,9,2,9,6488.8,442,1,37,Importação,Marítimo,2023-01-07,6,1,5.361636,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Portugal,PRT,2.0,Argentina,ARG,1.0,34790.5836768
80,2,14,13,12,7399.97,491,2,38,Exportação,Aéreo,2023-01-07,5,1,5.805459,Euro,Zona do Euro,Real Brasileiro,Brasil,México,MEX,3.0,Canadá,CAN,3.0,42960.222436230004
81,3,19,24,15,8310.14,540,3,39,Transferência entre filiais,Rodoviário,2023-01-07,9,1,0.778793,Yuan Chinês,China,Real Brasileiro,Brasil,Rússia,RUS,6.0,Bolívia,BOL,7.0,6471.878861019999
82,4,24,35,18,9221.31,589,4,40,Compra internacional,Ferroviário,2023-01-07,10,6,0.007711,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Bolívia,BOL,7.0,Singapura,SGP,4.0,71.10552141
83,5,29,6,21,10132.48,638,5,41,Venda internacional,Multimodal,2023-01-07,15,1,0.006176,Peso Chileno,Chile,Real Brasileiro,Brasil,Nova Zelândia,NZL,5.0,França,FRA,2.0,62.578196479999995
84,6,34,17,24,11043.65,687,6,42,Devolução internacional,Courier Internacional,2023-01-07,18,1,1.399102,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Turquia,TUR,,Coreia do Sul,KOR,5.0,15451.1928023
85,2,22,23,36,1059.91,169,1,43,Exportação,Marítimo,2023-01-08,6,1,5.371248,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Peru,PER,7.0,Colômbia,COL,7.0,5693.03946768
86,3,27,34,39,1970.08,225,2,44,Transferência entre filiais,Aéreo,2023-01-08,5,1,5.809507,Euro,Zona do Euro,Real Brasileiro,Brasil,Egito,EGY,8.0,Turquia,TUR,,11445.19355056
87,4,32,5,2,2881.25,281,3,45,Compra internacional,Rodoviário,2023-01-08,9,1,0.778346,Yuan Chinês,China,Real Brasileiro,Brasil,Suécia,SWE,2.0,Alemanha,DEU,2.0,2242.6094125
88,5,37,16,5,3792.42,337,4,46,Venda internacional,Ferroviário,2023-01-08,10,6,0.007695,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Vietnã,VNM,4.0,Japão,JPN,5.0,29.1826719
89,6,2,27,8,4703.59,393,5,47,Devolução internacional,Multimodal,2023-01-08,15,1,0.006158,Peso Chileno,Chile,Real Brasileiro,Brasil,Argentina,ARG,1.0,Egito,EGY,8.0,28.96470722
90,1,7,38,11,5614.76,449,6,48,Importação,Courier Internacional,2023-01-08,18,1,1.395997,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Itália,ITA,2.0,Indonésia,IDN,4.0,7838.18811572
91,2,12,9,14,6525.93,505,1,43,Exportação,Marítimo,2023-01-08,6,1,5.371248,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Estados Unidos,USA,3.0,Portugal,PRT,2.0,35052.388460639995
92,3,17,20,17,7436.1,561,2,44,Transferência entre filiais,Aéreo,2023-01-08,5,1,5.809507,Euro,Zona do Euro,Real Brasileiro,Brasil,Coreia do Sul,KOR,5.0,África do Sul,ZAF,6.0,43200.0750027
93,4,22,31,20,8347.27,617,3,45,Compra internacional,Rodoviário,2023-01-08,9,1,0.778346,Yuan Chinês,China,Real Brasileiro,Brasil,Peru,PER,7.0,Noruega,NOR,10.0,6497.06421542
94,5,27,2,23,9258.44,673,4,46,Venda internacional,Ferroviário,2023-01-08,10,6,0.007695,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Egito,EGY,8.0,Argentina,ARG,1.0,71.2436958
95,6,32,13,26,10169.61,729,5,47,Devolução internacional,Multimodal,2023-01-08,15,1,0.006158,Peso Chileno,Chile,Real Brasileiro,Brasil,Suécia,SWE,2.0,Canadá,CAN,3.0,62.62445838000001
96,1,37,24,29,11080.78,785,6,48,Importação,Courier Internacional,2023-01-08,18,1,1.395997,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Vietnã,VNM,4.0,Bolívia,BOL,7.0,15468.73563766
97,3,25,30,1,1096.04,190,1,49,Transferência entre filiais,Marítimo,2023-01-09,6,1,5.380579,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Emirados Árabes Unidos,ARE,8.0,Suíça,CHE,10.0,5897.32980716
98,4,30,1,4,2007.21,253,2,50,Compra internacional,Aéreo,2023-01-09,5,1,5.812924,Euro,Zona do Euro,Real Brasileiro,Brasil,Suíça,CHE,10.0,Brasil,BRA,1.0,11667.75918204
99,5,35,12,7,2918.38,316,3,51,Venda internacional,Rodoviário,2023-01-09,9,1,0.777819,Yuan Chinês,China,Real Brasileiro,Brasil,Singapura,SGP,4.0,Estados Unidos,USA,3.0,2269.97141322
100,6,40,23,10,3829.55,379,4,52,Devolução internacional,Ferroviário,2023-01-09,10,6,0.007679,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Nigéria,NGA,9.0,Colômbia,COL,7.0,29.40711445
101,1,5,34,13,4740.72,442,5,53,Importação,Multimodal,2023-01-09,15,1,0.00614,Peso Chileno,Chile,Real Brasileiro,Brasil,Alemanha,DEU,2.0,Turquia,TUR,,29.1080208
102,2,10,5,16,5651.89,505,6,54,Exportação,Courier Internacional,2023-01-09,18,1,1.393072,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Países Baixos,NLD,2.0,Alemanha,DEU,2.0,7873.489706080001
103,3,15,16,19,6562.06,568,1,49,Transferência entre filiais,Marítimo,2023-01-09,6,1,5.380579,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,China,CHN,5.0,Japão,JPN,5.0,35307.68223274
104,4,20,27,22,7473.23,631,2,50,Compra internacional,Aéreo,2023-01-09,5,1,5.812924,Euro,Zona do Euro,Real Brasileiro,Brasil,África do Sul,ZAF,6.0,Egito,EGY,8.0,43441.31802452
105,5,25,38,25,8384.4,694,3,51,Venda internacional,Rodoviário,2023-01-09,9,1,0.777819,Yuan Chinês,China,Real Brasileiro,Brasil,Emirados Árabes Unidos,ARE,8.0,Indonésia,IDN,4.0,6521.5456236
106,6,30,9,28,9295.57,757,4,52,Devolução internacional,Ferroviário,2023-01-09,10,6,0.007679,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Suíça,CHE,10.0,Portugal,PRT,2.0,71.38068203
107,1,35,20,31,10206.74,820,5,53,Importação,Multimodal,2023-01-09,15,1,0.00614,Peso Chileno,Chile,Real Brasileiro,Brasil,Singapura,SGP,4.0,África do Sul,ZAF,6.0,62.669383599999996
108,2,40,31,34,11117.91,883,6,54,Exportação,Courier Internacional,2023-01-09,18,1,1.393072,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Nigéria,NGA,9.0,Noruega,NOR,10.0,15488.049119520001
109,4,28,37,6,1133.17,211,1,55,Compra internacional,Marítimo,2023-01-10,6,1,5.389595,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Austrália,AUS,5.0,Vietnã,VNM,4.0,6107.327366150001
110,5,33,8,9,2044.34,281,2,56,Venda internacional,Aéreo,2023-01-10,5,1,5.815693,Euro,Zona do Euro,Real Brasileiro,Brasil,Dinamarca,DNK,2.0,Espanha,ESP,2.0,11889.25382762
111,6,38,19,12,2955.51,351,3,57,Devolução internacional,Rodoviário,2023-01-10,9,1,0.777213,Yuan Chinês,China,Real Brasileiro,Brasil,Indonésia,IDN,4.0,Rússia,RUS,6.0,2297.0607936300003
112,1,3,30,15,3866.68,421,4,58,Importação,Ferroviário,2023-01-10,10,6,0.007663,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Paraguai,PRY,1.0,Suíça,CHE,10.0,29.63036884
113,2,8,1,18,4777.85,491,5,59,Exportação,Multimodal,2023-01-10,15,1,0.006123,Peso Chileno,Chile,Real Brasileiro,Brasil,Espanha,ESP,2.0,Brasil,BRA,1.0,29.25477555
114,3,13,12,21,5688.02,561,6,60,Transferência entre filiais,Courier Internacional,2023-01-10,18,1,1.390339,Dirham dos Emirados,Emirados Árabes Unidos,Real Brasileiro,Brasil,Canadá,CAN,3.0,Estados Unidos,USA,3.0,7908.276038780001
115,4,18,23,24,6599.19,631,1,55,Compra internacional,Marítimo,2023-01-10,6,1,5.389595,Dólar Americano,Estados Unidos,Real Brasileiro,Brasil,Índia,IND,6.0,Colômbia,COL,7.0,35566.961428049995
116,5,23,34,27,7510.36,701,2,56,Venda internacional,Aéreo,2023-01-10,5,1,5.815693,Euro,Zona do Euro,Real Brasileiro,Brasil,Colômbia,COL,7.0,Turquia,TUR,,43677.94807948
117,6,28,5,30,8421.53,771,3,57,Devolução internacional,Rodoviário,2023-01-10,9,1,0.777213,Yuan Chinês,China,Real Brasileiro,Brasil,Austrália,AUS,5.0,Alemanha,DEU,2.0,6545.322595890001
118,1,33,16,33,9332.7,841,4,58,Importação,Ferroviário,2023-01-10,10,6,0.007663,Iene Japonês,Japão,Dólar Americano,Estados Unidos,Dinamarca,DNK,2.0,Japão,JPN,5.0,71.5164801
119,2,38,27,36,10243.87,911,5,59,Exportação,Multimodal,2023-01-10,15,1,0.006123,Peso Chileno,Chile,Real Brasileiro,Brasil,Indonésia,IDN,4.0,Egito,EGY,8.0,62.72321601
